step,wall_seconds,loss,learning_rate,reward_mean,reward_std,frac_zero_std_groups,completion_length_mean,entropy,kl,general_ppl,task_accuracy
121,726.32,0.0,0.0002,0.0,0.0,1.0,25.0,4.236101388931274,5.683968663215637,,
122,727.8,0.0,0.0002,0.0,0.0,1.0,4.0,0.011745929718017578,2.5801364183425903,,
123,729.28,0.0,0.0002,0.0,0.0,1.0,4.0,0.012499332427978516,2.6204620599746704,,
124,736.93,0.0,0.0002,0.0,0.0,1.0,47.5,3.5801899433135986,4.714458227157593,,
125,741.66,0.0,0.0002,0.0,0.0,1.0,26.0,3.7426958084106445,4.883867144584656,31.419925689697266,
126,743.21,0.0,0.0002,0.0,0.0,1.0,4.0,0.01035928726196289,2.4880303144454956,,
127,744.75,0.0,0.0002,0.0,0.0,1.0,4.0,0.08425098657608032,2.5123910903930664,,
128,746.3,0.0,0.0002,0.0,0.0,1.0,4.0,0.012204885482788086,2.4346487522125244,,
129,747.83,0.0,0.0002,0.0,0.0,1.0,4.0,0.01565837860107422,2.4865273237228394,,
130,752.71,0.0,0.0002,0.0,0.0,1.0,29.0,4.2398154735565186,5.254266977310181,31.41950035095215,
131,755.6,0.0,0.0002,0.0,0.0,1.0,17.5,4.102524042129517,5.185540199279785,,
132,756.88,0.0,0.0002,0.0,0.0,1.0,4.0,0.014965534210205078,2.47727108001709,,
133,761.6,0.0,0.0002,0.0,0.0,1.0,32.0,4.263599395751953,5.3043532371521,,
134,764.89,0.0,0.0002,0.0,0.0,1.0,21.0,4.194415330886841,5.393994212150574,,
135,766.18,0.0,0.0002,0.0,0.0,1.0,4.0,0.010694503784179688,2.514385461807251,31.424631118774414,
136,767.47,0.0,0.0002,0.0,0.0,1.0,4.0,0.010905981063842773,2.429093837738037,,
137,770.56,0.0,0.0002,0.0,0.0,1.0,19.5,4.223071813583374,5.248307585716248,,
138,779.76,0.0,0.0002,0.0,0.0,1.0,71.0,8.167073726654053,7.614737033843994,,
139,781.05,0.0,0.0002,0.0,0.0,1.0,4.0,0.0169219970703125,2.4504607915878296,,
140,782.85,0.0,0.0002,0.0,0.0,1.0,8.5,2.6022708415985107,4.902431488037109,31.423154830932617,0.0
141,787.41,0.0,0.0002,0.0,0.0,1.0,32.0,4.232083320617676,5.263953924179077,,
142,788.7,0.0,0.0002,0.0,0.0,1.0,4.0,0.08603730797767639,2.4817793369293213,,
143,789.98,0.0,0.0002,0.0,0.0,1.0,4.0,0.011484146118164062,2.420108675956726,,
144,792.79,0.0,0.0002,0.0,0.0,1.0,17.0,4.0935070514678955,5.215762376785278,,
145,794.2,0.0,0.0002,0.0,0.0,1.0,5.0,0.824068546295166,4.326234221458435,31.41593360900879,
146,798.0,0.0,0.0002,0.0,0.0,1.0,25.5,4.25899863243103,5.241041302680969,,
147,799.98,0.0,0.0002,0.0,0.0,1.0,10.0,3.099599599838257,4.906425595283508,,
148,801.27,0.0,0.0002,0.0,0.0,1.0,4.0,0.008301496505737305,2.4338215589523315,,
149,802.57,0.0,0.0002,0.0,0.0,1.0,4.0,0.012527227401733398,2.5237501859664917,,
150,806.96,0.0,0.0002,0.0,0.0,1.0,30.5,7.604991912841797,7.682872295379639,31.42166519165039,
