step,wall_seconds,loss,learning_rate,reward_mean,reward_std,frac_zero_std_groups,completion_length_mean,entropy,kl,general_ppl,task_accuracy
141,509.84,0.0311,0.0002,2.0,0.0,1.0,29.25,0.3596159666776657,0.7768643200397491,,
142,515.13,0.0232,0.0002,2.6875,0.5938674807548523,0.5,30.4375,0.44903022050857544,0.5805920958518982,,
143,527.38,0.0215,0.0002,2.4375,0.7763237953186035,0.5,44.25,0.6661555618047714,0.5378089249134064,,
144,532.21,0.0183,0.0002,2.625,0.816463440656662,0.0,27.75,0.38276728987693787,0.45866858959198,,
145,547.78,0.0239,0.0002,2.125,1.3701912760734558,0.0,52.3125,0.6247170865535736,0.5979006290435791,28.601179122924805,
146,551.9,0.0134,0.0002,3.0,0.0,1.0,26.5,0.32610608637332916,0.3344944715499878,,
147,556.26,0.0161,0.0002,3.0,0.0,1.0,26.0625,0.4680044800043106,0.40135657787323,,
148,560.58,0.0129,0.0002,3.0,0.0,1.0,24.5,0.4184124171733856,0.3236854821443558,,
149,564.5,0.0195,0.0002,2.25,0.4629100561141968,0.5,25.4375,0.35331450402736664,0.4879814609885216,,
150,569.47,0.0156,0.0002,3.0,0.0,1.0,26.875,0.4790230542421341,0.3912116587162018,28.785144805908203,
